,7,8,9,10,11,12,13,14,15,16,17
H015,34777.15771829272,50158.000984791324,60100.24827828357,70724.39569150648,76546.94739737519,78411.41693092007,81440.56388168354,79533.5399092033,81650.8176251309,77584.8794324238,74836.73426274942
