iter	Logloss
0	0.6915906345
1	0.6900474664
2	0.6888192599
3	0.6868551725
4	0.6859476772
5	0.684369908
6	0.682866672
7	0.6811404795
8	0.6796616179
9	0.6778318647
10	0.6760210092
11	0.6745986411
12	0.6729227285
13	0.6715149498
14	0.6700918743
15	0.668699074
16	0.6670401204
17	0.6653837786
18	0.6638676895
19	0.6632115216
20	0.6614608393
21	0.6594785716
22	0.6582530405
23	0.6574760763
24	0.6560684726
25	0.6553767851
26	0.6540115661
27	0.6528359016
28	0.651797319
29	0.6507136167
30	0.6494536126
31	0.6479904446
32	0.6467878467
33	0.6455159021
34	0.6440242304
35	0.6423497825
36	0.6415804537
37	0.6403297587
38	0.6391227509
39	0.637560779
40	0.6362712833
41	0.6344147901
42	0.6330328242
43	0.6313331401
44	0.6299375393
45	0.6284894191
46	0.627049963
47	0.6253694462
48	0.6233868198
49	0.6221282238
50	0.6207644969
51	0.619334173
52	0.6183198808
53	0.6171828313
54	0.6161604758
55	0.6148580655
56	0.6136871225
57	0.6126553983
58	0.6120970689
59	0.6105914145
60	0.6091622827
61	0.6076562737
62	0.6068362154
63	0.6050529148
64	0.6037424734
65	0.6019384841
66	0.6004218498
67	0.5994042012
68	0.598774565
69	0.5973510078
70	0.5965108363
71	0.5951609074
72	0.5940851872
73	0.5930847672
74	0.592212764
75	0.5905026676
76	0.5891429069
77	0.5878342087
78	0.586066717
79	0.5852313042
80	0.5843475735
81	0.583419279
82	0.5822026495
83	0.5808936739
84	0.5800604166
85	0.5791833049
86	0.5783134875
87	0.5768669678
88	0.5758223944
89	0.5749821135
90	0.5736744502
91	0.5723877168
92	0.570963799
93	0.569790033
94	0.5686542675
95	0.5678973892
96	0.5676897872
97	0.5667747034
98	0.5656350724
99	0.5643131381
100	0.5634872181
101	0.5624113327
102	0.5612830842
103	0.5598247716
104	0.5585863981
105	0.5574697354
106	0.5563579974
107	0.5549615753
108	0.5542899434
109	0.5538536002
110	0.552573336
111	0.5515643446
112	0.5509574799
113	0.5501727222
114	0.5489117537
115	0.5477266204
116	0.5467638681
117	0.5455977853
118	0.5445431163
119	0.5434498039
120	0.5425322955
121	0.5415165532
122	0.5404574773
123	0.5392766873
124	0.5385699878
125	0.5374551538
126	0.5364471293
127	0.5350401426
128	0.5340182014
129	0.5327988907
130	0.5321968452
131	0.5312909577
132	0.5305052859
133	0.5294923152
134	0.528546902
135	0.5275863004
136	0.5262841802
137	0.5252909753
138	0.5240862223
139	0.523352471
140	0.5225979461
141	0.5215950848
142	0.5209620781
143	0.5201999247
144	0.5193603229
145	0.518624357
146	0.5176305448
147	0.5167787139
148	0.5155578519
149	0.514962701
150	0.5142393742
151	0.5132401102
152	0.5121141272
153	0.511394062
154	0.5106780426
155	0.509855011
156	0.5095577279
157	0.5090363099
158	0.5083435979
159	0.5072195662
160	0.5065472214
161	0.5057194883
162	0.5046507389
163	0.5037306953
164	0.5030791408
165	0.5025665931
166	0.5017388976
167	0.5008862576
168	0.4995278613
169	0.4989210255
170	0.4980617781
171	0.4972711049
172	0.4965707626
173	0.4962037699
174	0.4953692941
175	0.4946077007
176	0.4941012244
177	0.4935267201
178	0.4926341166
179	0.4916595738
180	0.4906338795
181	0.489594931
182	0.4886757697
183	0.4878767954
184	0.4870004068
185	0.4865643226
186	0.485838379
187	0.4847053177
188	0.4840516223
189	0.4833727186
190	0.4824277509
191	0.4816012671
192	0.4807368737
193	0.4802899165
194	0.4796578054
195	0.4786168566
196	0.4776843957
197	0.4769748733
198	0.4764406803
199	0.4755998122
200	0.4750049984
201	0.4744253554
202	0.4732996045
203	0.4726522321
204	0.4714629044
205	0.4705060872
206	0.4695188818
207	0.4690916059
208	0.468227919
209	0.4678849236
210	0.467402532
211	0.4665502222
212	0.4657736523
213	0.4648659039
214	0.4637488596
215	0.4629115492
216	0.462072112
217	0.461340999
218	0.4604406332
219	0.4596804693
220	0.4590015177
221	0.4581231221
222	0.4571445511
223	0.4561304162
224	0.455228039
225	0.454749335
226	0.4538794961
227	0.45281791
228	0.451803778
229	0.4509667051
230	0.4498620146
231	0.4489943283
232	0.4485263434
233	0.4478045785
234	0.4470263949
235	0.4462177431
236	0.4455556244
237	0.4446908817
238	0.444114153
239	0.4432501861
240	0.442870761
241	0.4421782459
242	0.4415114141
243	0.4410984663
244	0.4398088724
245	0.4388880046
246	0.4380416987
247	0.4372738404
248	0.43661141
249	0.4362899773
250	0.4358631495
251	0.4352845271
252	0.434648398
253	0.4340089237
254	0.4332154833
255	0.4324059135
256	0.4318738531
257	0.431455812
258	0.4305933201
259	0.4299647417
260	0.4290770668
261	0.4285202657
262	0.4276598697
263	0.4272096763
264	0.4266043965
265	0.4259586408
266	0.4255190194
267	0.4247522344
268	0.4246470181
269	0.423809117
270	0.4233203394
271	0.422792444
272	0.4222050143
273	0.421842727
274	0.4213336819
275	0.4206994928
276	0.4199985236
277	0.4191676759
278	0.4183978531
279	0.4180499071
280	0.417290241
281	0.4165260665
282	0.4159851695
283	0.41540888
284	0.4144943806
285	0.4141720328
286	0.4136220471
287	0.4132888864
288	0.4124289775
289	0.4118647527
290	0.4116036589
291	0.4112277476
292	0.4107775688
293	0.4100050638
294	0.4095200461
295	0.4089592627
296	0.4085467453
297	0.4077671068
298	0.4072023396
299	0.4062283806
300	0.4058277309
301	0.4052680149
302	0.4047753938
303	0.4041355922
304	0.4034223312
305	0.4027309897
306	0.4021048179
307	0.401500228
308	0.4003430136
309	0.3998515826
310	0.3994075612
311	0.3988998586
312	0.3984731836
313	0.3974504867
314	0.3967271647
315	0.3960665083
316	0.3955651097
317	0.3950274758
318	0.3946376692
319	0.3939380792
320	0.393092625
321	0.392547325
322	0.3918722966
323	0.3915259569
324	0.3907493964
325	0.3901767306
326	0.3896116507
327	0.3890636212
328	0.3884816649
329	0.3878963106
330	0.3874471745
331	0.3866683342
332	0.3861678668
333	0.385411305
334	0.3844100633
335	0.3842113282
336	0.3836590364
337	0.3831242406
338	0.3823710954
339	0.3820659811
340	0.3815228494
341	0.3811548347
342	0.3806652788
343	0.3799348268
344	0.3791725411
345	0.378583806
346	0.3780312157
347	0.3773482901
348	0.3769990494
349	0.3762917054
350	0.3759312297
351	0.3753523231
352	0.3749110723
353	0.3744419354
354	0.3739658711
355	0.373383031
356	0.3730171562
357	0.3723981249
358	0.3718409993
359	0.3713623925
360	0.3707095922
361	0.3700579415
362	0.3693866481
363	0.3687545628
364	0.3682303834
365	0.3676868037
366	0.3671181612
367	0.3667156271
368	0.3663199832
369	0.3656352006
370	0.3651515895
371	0.3647703558
372	0.3644358076
373	0.364025029
374	0.3637170987
375	0.3632389077
376	0.3626595731
377	0.3620941219
378	0.3614027505
379	0.3609334519
380	0.360189667
381	0.3594730242
382	0.3588490545
383	0.3584819265
384	0.358096754
385	0.3575455561
386	0.3573198744
387	0.3568094778
388	0.3563180072
389	0.3558320237
390	0.3555692576
391	0.3553392452
392	0.3549784021
393	0.3543383968
394	0.3540642975
395	0.3536304079
396	0.3528922718
397	0.3524357486
398	0.3520591279
399	0.3518398277
400	0.3511511586
401	0.3504605894
402	0.3498196431
403	0.3494177143
404	0.3489403632
405	0.3482657378
406	0.3476334893
407	0.3472125164
408	0.3467803295
409	0.3461992618
410	0.345631178
411	0.3452839783
412	0.3450630857
413	0.3447697033
414	0.3443632717
415	0.3438081788
416	0.343432735
417	0.3430935384
418	0.3424892316
419	0.3420324707
420	0.3416004784
421	0.3411316833
422	0.3407752421
423	0.3403189256
424	0.3396068914
425	0.3391918171
426	0.3386981033
427	0.3381871046
428	0.3378944656
429	0.3371970392
430	0.3369927084
431	0.3367291804
432	0.3361917563
433	0.3357240186
434	0.3353516875
435	0.334738374
436	0.3341973441
437	0.3337558261
438	0.3332892537
439	0.3327436933
440	0.3324890007
441	0.3322340472
442	0.3320342815
443	0.3317030466
444	0.33116717
445	0.3305598991
446	0.3301822499
447	0.3299672513
448	0.3298123457
449	0.3293013626
450	0.3286808668
451	0.3282692948
452	0.3278247326
453	0.3272463635
454	0.3267941377
455	0.3264232358
456	0.3258385431
457	0.325326622
458	0.3250677466
459	0.3245701765
460	0.3239750532
461	0.3235502487
462	0.3232643839
463	0.3229865337
464	0.3224584656
465	0.3220877406
466	0.3215012492
467	0.3210267007
468	0.3204711681
469	0.3200290401
470	0.3197975777
471	0.319333547
472	0.3190445587
473	0.3185492532
474	0.3182237371
475	0.3178892504
476	0.3175717883
477	0.3172433291
478	0.3166985671
479	0.3162782344
480	0.3158691726
481	0.3155062094
482	0.3151250821
483	0.3147155777
484	0.3141486752
485	0.3136481423
486	0.3132445416
487	0.3127708503
488	0.3123263275
489	0.3117590945
490	0.3112960534
491	0.3108908085
492	0.3104371556
493	0.3099282572
494	0.3095728867
495	0.3091825423
496	0.3088576295
497	0.3084918026
498	0.3079634047
499	0.3076650451
500	0.307511252
501	0.3070990087
502	0.307002229
503	0.3066140736
504	0.306213599
505	0.3056933604
506	0.3054976752
507	0.3050672221
508	0.3046768855
509	0.3042402077
510	0.3039321672
511	0.3035778384
512	0.3031855536
513	0.3028556937
514	0.3025755929
515	0.3021527961
516	0.3019578796
517	0.3015342975
518	0.301270086
519	0.3007831109
520	0.3003932736
521	0.2999823685
522	0.2993196293
523	0.2987584623
524	0.2983639023
525	0.2978291556
526	0.2973342159
527	0.2968422516
528	0.2964563218
529	0.295695886
530	0.2952702522
531	0.2949531753
532	0.2945497823
533	0.2941965595
534	0.2937090006
535	0.2933082874
536	0.2930134041
537	0.2924035692
538	0.2921061469
539	0.2918833538
540	0.2916239776
541	0.2911091352
542	0.2907520972
543	0.2903023445
544	0.290091817
