,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC021,21531.97026,28592.99315,47702.28546,52398.84718,52080.09861,51816.15158,52329.41484,47010.25519,50158.81313,49430.99687,49526.68761,50994.52572,47546.76757,53566.47,48616.22621,46886.83356
