,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
H031,7359.319994,8624.107211,8281.742955,9065.103222,11551.90906,12418.45978,16302.07835,18161.14452,19001.74267,22742.66164,19864.21526,22152.66006,17738.89606,20464.33403,15266.31249
