,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
H034,6235.910396,7885.296568,10574.58959,9271.494647,13299.9029,14019.02698,15032.71694,16101.69372,16660.19064,16690.76949,17853.87878,17075.10064,17236.38755,13687.45837
