,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC070,760.6874782595505,1001.779466934435,28176.940548266684,774.5515517468964,933.0743311251154,795.6989271714626,810.3869342904018,758.4702689499061,777.3485038263932,930.8497148930996,1056.5703113414263,1080.9421290463874,1136.3208371559938,1115.700490841178,1253.971518561352,1089.9954243576008
