,5,6,7,8,9,10,11,12,13,14,15,16,17
EC061,4623.30436568732,6307.231561862589,7613.69425814891,8384.455355585487,11460.059487637418,34043.36051633655,13398.433743173788,14085.52449108412,13400.891540539835,12083.103374312752,12333.790432627517,12539.775411337703,11812.858634206543
