,7,8,9,10,11,12,13,14,15,16,17,Average
EC010,53287.98668,55063.70868,57401.61584,55313.59884,57666.88567,61472.15854,58400.4226,62320.47368,60979.48329,61508.39027,63859.54698,58843.11555
