,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC024,22689.282326911813,30718.588813759758,37234.9390606345,39672.738533184674,43665.4025256606,42314.87146823189,43110.240157610446,41577.51808450177,44253.16143819708,35908.0495541904,39296.92169398717,39709.574500704715,38589.34561733995,35690.63179751852,36074.28517195618
