,6,7,8,9,10,11,12,13,14,15,16,17,Average
H039,11816.07424,13163.9203,16161.5669,17540.71024,17976.00335,17245.66337,17742.03223,17473.6665,17765.18137,18411.19178,17641.98596,18151.35901,16757.44627
