,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC022,44254.08078,47337.29113,53871.31909,48167.65128,51705.92415,53361.80988,57993.40536,54536.81407,60648.87178,54715.95149,61739.72991,50023.64943,53196.37486
