,8,9,10,11,12,13,14,15,16,17
EC035,65516.881975782286,66169.82513004122,69590.15861139979,67889.09481423398,62032.38021037212,59039.64779956738,56442.02095726694,56215.801478789275,54598.615724274554,56206.130655570334
