,7,8,9,10,11,12,13,14,15,16,17,Average
EC059,3270.134999,3596.668671,4032.471623,4448.081566,4998.94596,5726.740741,6048.72495,6834.836851,7629.106647,7698.058999,7782.573848,5642.394987
