,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC001,28344.932197908856,30559.55198812775,32391.552833702473,33673.212524586976,31459.143273973445,32600.47448767755,32104.300542380064,35056.75385327359,32060.147554835356,29096.509658622614,33411.346198675026,29831.813503428915,30439.179969885747,26657.317102050507
