,7,8,9,10,11,12,13,14,15,16,17,Average
EC002,42244.9736,52339.47215,55174.45902,55168.96485,54237.91956,52303.3711,52533.35904,51926.26502,50556.91743,46342.69405,45549.32478,50761.61096
