,7,8,9,10,11,12,13,14,15,16,17
H002,46200.04688869897,48566.1106996726,52343.09077135642,52134.158632822204,51932.992125339195,52195.83679505315,53312.886184024246,42891.715067606514,45843.28932781807,43251.94478593314,48117.29224771744
