,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC013,25321.80923,27450.10454,29333.58404,30566.33827,27021.27691,22168.67255,26676.70656,28910.64239,23603.90801,25803.32251,26186.03896,27784.57801,24482.21288,26562.24576
