,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC022,37804.82578568929,45386.27189980715,52623.35949927859,28781.853832721154,31363.838350574253,35791.7949718382,39436.05854492722,43784.01969457844,46402.39641985303,45872.08585134863,49801.618725443106,49618.35061222053,50858.27671016552,49862.38304302783
