,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC070,1226.528895,902.8649609,1285.582523,1124.059915,1363.631231,1297.055575,1649.805171,1379.57026,1346.369733,1346.038006,1168.962818,1539.189323,1302.471534
