,5,6,7,8,9,10,11,12,13,14,15,16,17
H011,23336.298234219856,30260.187155329935,30587.06469021483,31291.92216144217,31833.830963606153,34104.100541759864,41645.831952772525,44875.91384966661,42705.10328257204,36829.96573506596,37823.00570198601,43202.093025788796,42514.18493250855
