,8,9,10,11,12,13,14,15,16,17
EC027,39304.76524216749,38940.829929033745,56673.60932101183,53545.03525791801,48908.02500696325,57375.41753677827,52743.901585884414,53676.10276989293,59078.87502936488,48716.05832717348
