,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC030,23862.35512,28049.99241,32570.99148,32649.57277,42166.50247,43872.30354,61432.84302,61159.28882,71990.99273,71489.69765,70908.91,66499.90805,60751.39905,48424.83866,51130.68541
