,7,8,9,10,11,12,13,14,15,16,17,Average
EC018,32533.07955,35295.57128,43798.06703,48014.91858,57342.56332,55854.66815,59548.29308,57893.70981,61113.56607,57582.76747,56356.06973,51393.93401
