,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC001,18322.63794266036,23975.603726862533,36599.83590237284,40099.913962219216,48922.653620989775,40545.58717902587,41796.361996159394,40026.910578875824,41160.431420980574,39859.84385208937,60711.83211834932,60532.75037492563,60171.86577554082,59211.23119627559
