,6,7,8,9,10,11,12,13,14,15,16,17
EC024,29803.202076210266,35301.510545087964,34856.683665800534,35489.65317932122,41072.851875800756,39295.03428751274,40611.392638629055,42645.97336032969,44407.18666364539,40311.48450351759,38797.795179160516,37397.25028076279
