,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC006,53198.889550590095,56902.358231927115,65994.49989377738,67519.23169890956,73233.80052017857,74461.87455903733,78466.58129943277,79781.9242011687,75778.57814034875,84870.11099876623,71686.29882387801,70754.3271259699,67761.45378878998,67262.92194889719,64467.6293205745,61420.45029884056
