,4,5,6,7,8,9,10,11,12,13,14,15,16,17
H001,33938.87858712421,38918.07750168875,41287.4487802009,51589.75170098822,53650.49611313066,52377.86619987849,52326.34304444244,51820.81864562125,47454.63336905432,42042.97075658191,37708.73096362483,25457.945496424272,29335.928856149767,29137.645962246803
