,7,8,9,10,11,12,13,14,15,16,17
H020,27062.27508048078,27670.462354256993,47533.97401484352,46165.92595724319,50451.975363159494,51849.80449661188,58807.53500958062,58126.392911942414,60003.18930942558,47611.34500626502,45853.621933618335
