,7,8,9,10,11,12,13,14,15,16,17
EC014,16773.282058027056,19553.359519830527,30180.27104627852,20172.6311716946,18147.586148973704,18705.36126934044,18083.722019347755,18475.038897343526,21546.377967442553,15536.962381342979,11485.181734635979
