,7,8,9,10,11,12,13,14,15,16,17
EC058,1865.203559200865,2777.3145885976674,24052.980804019582,2554.9474829202645,4007.3710324853673,4533.452799326475,3922.774335657269,4315.53593706579,4393.18418495873,3976.2230796033164,3365.5128065937515
