,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC049,13149.09995060641,19947.792668508002,22051.14761112281,43789.21211119743,44210.96099500075,46052.0085698229,39692.40588157997,39212.891076693915,37859.886460036185,30915.32608828934,30163.02596720087,30083.70173244484,26804.767130222834,23230.61527420061,26589.259032762064
