,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC008,26333.21904,34836.95448,44651.22596,50594.51976,50034.98179,50863.17277,53353.75422,50989.79377,47765.77229,42563.22766,43694.58378,44219.24786,40374.86047,39085.59902,38009.9407,43824.72357
