,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC032,60368.47151,68181.2479,74863.41915,86432.62417,94187.30852,89859.17387,88620.32205,88521.63624,89924.45367,89419.23224,85033.22874,79838.80065,82937.49323
