,7,8,9,10,11,12,13,14,15,16,17,Average
H016,41189.34446,47844.7327,47296.22366,50478.36658,47024.58508,45921.44002,40623.55357,41025.086,37919.78371,36970.92366,33192.48181,42680.59284
