,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
H002,33335.22118,36792.3739,42511.1867,43656.49374,46561.50143,54239.56141,53609.30308,62026.60024,66377.07966,67855.87834,68223.31489,70643.87584,67529.47688,68605.18934,65719.30662,62545.70909,56889.50452
