,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
H035,5886.062275,6765.227221,10119.44029,12302.90262,15241.0348,18694.78137,19428.19804,21905.54952,22729.32506,24266.8319,24552.45754,23758.55158,23676.58516,24275.98447,23453.11242,22814.80105,18741.92783
