,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average
EC049,17418.24061,27028.64205,32889.87923,34302.52581,38387.13087,56455.39261,33060.24834,36941.87781,44426.53358,44178.19252,46373.41152,43644.30183,42884.81993,39911.27104,38685.59532,38439.2042
