,5,6,7,8,9,10,11,12,13,14,15,16,17
EC015,29652.71599346966,28101.17758060556,26209.957925522755,27823.972349690594,25383.007798412742,25931.84080855662,24917.872124392128,16227.560843238052,12696.156279279989,10536.231681699015,7936.743594811647,7624.606985813696,7486.890195517088
