,5,6,7,8,9,10,11,12,13,14,15,16,17
EC020,22920.900204428748,26274.93228224274,29924.734750081814,30388.05466914984,31502.592158269348,53078.87938684878,60444.66346681129,64927.205105793866,64383.3726711896,66593.05249250533,70749.43482235144,68066.07849661834,68074.7873050488
