,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
EC026,16323.182737090841,19197.79795249422,23416.633735491952,23694.997525064886,29597.485072048497,33708.078767953215,42058.81963365437,52979.6700007749,58859.551350373615,59593.69860356217,59145.755129513986,69697.66378162893,57249.66910116191,59669.74280636254,59755.43104744568,58018.96985275397
