,8,9,10,11,12,13,14,15,16,17
H001,39204.026454130995,39739.623231797785,39605.28336007256,42133.79320663084,40289.75901690245,43396.39291458756,42479.903727582045,42740.569626787095,42244.96239167523,47577.30762794928
